臺中管理處地下水水權狀總表,,,,,,,,,,,,,,,,,,,,
編號,站別,名稱,水權狀號,核准,年限,灌溉面積(ha),引水地點,使用方法,引用水量(cms),每日用水時間(hr),年可引用水量(m³),水井深度(m),引水月份,水系,,,,cmd,,
33 ,磁瑤,后里圳七支線三號抽水井,B1140110,1140513,1190512,0.835569,臺中市外埔區新磁瑤段0138-0000地號,,0.0162,1.5,"31,930.20",130,每月,大安溪,1140515新增,,,87.48,,0.4957
34 ,月眉,后里圳幹線抽水井,B1090023,1140301,1190228,3.121956,臺中市后里區四月段264地號,,0.033,7,"303,534.00",150,每月,大安溪,,,,831.6,,0.1241
35 ,月眉,月眉站舊辦公廳地下水抽水井,B0130304,1120301,1170229,0.5,臺中市后里區后寶段792地號,,0.009,10,"118,260.00",91,每月,大安溪,,,,324,,
36 ,月眉,后里圳月眉排水補給抽水井,B1070176,1120921,1170920,4.7724,臺中市后里區四塊厝段350地號,,0.034,6.5,"290,394.00",150,每月,大安溪,,,,795.6,,
37 ,月眉,后里圳三支線上游補給抽水井,B1060117,1111023,1161022,5.060208,臺中市后里區眉山西段279地號,,0.036,12,"567,648.00",150,每月,大安溪,,,,1555.2,,
38 ,月眉,后里圳三支線中游補給抽水井,B1040345,1140702,1190701,8.365843,臺中市后里區四塊庄段401地號,,0.033,16,"693,792.00",150,每月,大安溪,,,,1900.8,,
39 ,月眉,后里圳三支線中游二號抽水井,B1100675,1150920,1200919,2.465661,臺中市后里區四月段433地號,機械動力抽汲地下水，設水井管徑400公厘鋼管水井1座及出水管徑150公厘、55匹馬力沉水式電動抽水機1台,0.0344,6,"271,209.60",138,每月,大安溪,,,,743.04,,
40 ,月眉,后里圳三支線下游補給抽水井,B1030025,1130331,1180330,9.224496,臺中市后里區口庄段162地號,,0.032,13,"546,624.00",150,每月,大安溪,,,,1497.6,,
41 ,月眉,后里圳三支線下游二號抽水井,B1090151,1141023,1191022,3.0739,臺中市后里區口庄段162地號,,0.0277,6.7,"243,865.26",150,每月,大安溪,,,,668.124,,
42 ,月眉,后里圳四支線中下游抽水井,B1050164,1110110,1160109,6.537497,臺中市外埔區三崁段50地號,,0.0282,17,"629,931.60",150,每月,大安溪,,,,1725.84,,
43 ,月眉,后里圳五支線補給抽水井,B1080096,1130523,1180522,8.334606,臺中市外埔區三崁段279地號,,0.0359,13,"613,243.80",150,每月,大安溪,,,,1680.12,,
44 ,月眉,后里圳五支線中下游抽水井,B1050034,1150510,1200509,5.052352,臺中市外埔區三崁段279-2地號,,0.0243,5.2,"166,037.04",150,每月,大安溪,,,,454.896,,
45 ,月眉,后里圳五支線下游抽水井,B1090135,1140925,1190924,7.638331,臺中市外埔區三崁段279-2地號,,0.037,12,"583,416.00",150,每月,大安溪,,,,1598.4,,
46 ,月眉,后里圳五支線之一上游補給抽水井,B1070175,1120925,1170924,3.711285,臺中市外埔區二崁段1-2地號,,0.0263,6.5,"224,628.30",150,每月,大安溪,,,,615.42,,
47 ,月眉,后里圳五支線之一下游補給抽水井,B1030009,1130307,1180306,1.556702,臺中市外埔區水美南段1069地號,,0.034,3,"134,028.00",150,每月,大安溪,,,,367.2,,
48 ,月眉,后里圳五支線之一延長線補給抽水井,B1060151,1111211,1161210,2.943065,臺中市外埔區水美西段85地號,,0.0123,11,"177,784.20",150,每月,大安溪,,,,487.08,,
